task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2625	29/211aff	780303	InvokePreparePlotData (2624)	COMPLETED	0	2025-02-07 21:09:34.914	19m 24s	18m 58s	92.3%	403.7 MB	788 MB	1.4 GB	19.4 KB
2647	76/eba4fb	780360	InvokePreparePlotData (2646)	COMPLETED	0	2025-02-07 21:09:46.619	19m 12s	16m 27s	94.9%	460 MB	814.6 MB	2.3 GB	33.5 KB
3456	c9/3500a1	780493	InvokePreparePlotData (3455)	COMPLETED	0	2025-02-07 21:10:19.658	18m 39s	17m 32s	92.5%	421.5 MB	761.9 MB	1.6 GB	20.7 KB
4608	71/bc691c	780604	InvokePreparePlotData (4607)	COMPLETED	0	2025-02-07 21:11:06.661	17m 52s	16m 27s	90.7%	415 MB	763.8 MB	1.1 GB	28.1 KB
4609	32/41b820	780609	InvokePreparePlotData (4608)	COMPLETED	0	2025-02-07 21:11:07.582	17m 51s	16m 23s	93.7%	413.5 MB	772.5 MB	1004.6 MB	22.2 KB
4753	d5/36471c	780687	InvokePreparePlotData (4752)	COMPLETED	0	2025-02-07 21:11:20.920	17m 38s	16m 45s	89.1%	397.4 MB	752.6 MB	1.2 GB	16.1 KB
2547	e5/ec5e61	780753	InvokePreparePlotData (2546)	COMPLETED	0	2025-02-07 21:11:32.563	17m 26s	15m 29s	92.8%	431.6 MB	772.9 MB	1.2 GB	41.7 KB
3535	50/b23a45	780901	InvokePreparePlotData (3534)	COMPLETED	0	2025-02-07 21:12:07.989	16m 51s	14m 46s	93.2%	463.3 MB	806.8 MB	542.7 MB	71 KB
2694	19/eb1b6b	781302	InvokePreparePlotData (2693)	COMPLETED	0	2025-02-07 21:13:30.723	15m 28s	13m 46s	91.0%	396.6 MB	749.5 MB	1.3 GB	19.6 KB
3461	30/acb2cb	781485	InvokePreparePlotData (3460)	COMPLETED	0	2025-02-07 21:14:13.809	14m 45s	13m 7s	94.9%	479.4 MB	822.6 MB	1.5 GB	56.4 KB
3471	50/2cd9d2	781563	InvokePreparePlotData (3470)	COMPLETED	0	2025-02-07 21:14:32.764	14m 26s	12m 40s	91.1%	388.5 MB	747.6 MB	1.1 GB	13.7 KB
3083	ba/3c2e01	781576	InvokePreparePlotData (3082)	COMPLETED	0	2025-02-07 21:14:35.283	14m 23s	12m 17s	94.3%	430.2 MB	784 MB	6.2 GB	24.8 KB
1085	96/508d24	769113	InvokePreparePlotData (1084)	COMPLETED	0	2025-02-07 20:33:36.588	55m 36s	55m 21s	95.8%	580.8 MB	982.3 MB	1.6 GB	101.1 KB
207	00/7b500d	767068	InvokePreparePlotData (206)	COMPLETED	0	2025-02-07 20:28:09.630	1h 1m 18s	1h 1s	97.0%	736.2 MB	1.1 GB	1.5 GB	188.8 KB
3864	e7/9e3d81	780988	InvokePreparePlotData (3863)	COMPLETED	0	2025-02-07 21:12:24.776	17m 3s	16m 25s	92.1%	402.4 MB	750.6 MB	826.7 MB	84 KB
3417	89/13f08e	781188	InvokePreparePlotData (3416)	COMPLETED	0	2025-02-07 21:13:08.511	16m 20s	15m 29s	93.7%	456.1 MB	808.4 MB	3 GB	26.3 KB
2783	a1/adc29a	781439	InvokePreparePlotData (2782)	COMPLETED	0	2025-02-07 21:14:00.328	15m 28s	14m 52s	95.2%	471.5 MB	823.1 MB	1003.5 MB	36.3 KB
1589	72/18f0dd	770283	InvokePreparePlotData (1588)	COMPLETED	0	2025-02-07 20:36:51.918	52m 51s	52m 46s	95.5%	517.3 MB	876.2 MB	660.6 MB	67.7 KB
1806	00/2c77ba	770815	InvokePreparePlotData (1805)	COMPLETED	0	2025-02-07 20:38:23.244	51m 20s	50m 37s	96.3%	576.2 MB	980.9 MB	902 MB	45.3 KB
1943	9f/0b3b4b	771128	InvokePreparePlotData (1942)	COMPLETED	0	2025-02-07 20:39:14.415	50m 29s	49m 59s	96.1%	506.3 MB	909.8 MB	8.9 GB	23.3 KB
4376	df/8bd8d8	774910	InvokePreparePlotData (4375)	COMPLETED	0	2025-02-07 20:51:45.103	37m 58s	37m 7s	95.3%	530.8 MB	875.1 MB	1.1 GB	42.1 KB
3057	e1/4e5af1	778403	InvokePreparePlotData (3056)	COMPLETED	0	2025-02-07 21:03:01.649	26m 42s	25m 48s	94.0%	447.4 MB	853.2 MB	957.3 MB	36.9 KB
4578	cf/0ebddd	780158	InvokePreparePlotData (4577)	COMPLETED	0	2025-02-07 21:09:00.967	20m 42s	19m 9s	95.0%	446.3 MB	791.4 MB	3.8 GB	39.9 KB
1333	77/8f0580	769687	InvokePreparePlotData (1332)	COMPLETED	0	2025-02-07 20:35:13.418	54m 45s	53m 28s	93.8%	530.5 MB	934.9 MB	1.3 GB	69.8 KB
1513	f9/f72588	770107	InvokePreparePlotData (1512)	COMPLETED	0	2025-02-07 20:36:22.555	53m 35s	53m 16s	97.0%	689 MB	1.1 GB	696.8 MB	75.1 KB
1677	1b/4d730a	770504	InvokePreparePlotData (1676)	COMPLETED	0	2025-02-07 20:37:31.213	52m 27s	50m 21s	97.7%	853.4 MB	1.2 GB	1.4 GB	71.6 KB
1803	bc/c52bc7	770807	InvokePreparePlotData (1802)	COMPLETED	0	2025-02-07 20:38:21.939	51m 36s	50m 36s	99.0%	640.6 MB	981.3 MB	2.4 GB	61.6 KB
1904	2e/1bb4cb	771038	InvokePreparePlotData (1903)	COMPLETED	0	2025-02-07 20:39:00.225	50m 58s	49m 45s	97.1%	646.1 MB	1 GB	1.8 GB	107.9 KB
1916	1f/73f335	771066	InvokePreparePlotData (1915)	COMPLETED	0	2025-02-07 20:39:04.846	50m 53s	49m 46s	95.9%	539.3 MB	943.9 MB	902.3 MB	99.6 KB
2025	26/5a5115	771339	InvokePreparePlotData (2024)	COMPLETED	0	2025-02-07 20:39:48.333	50m 10s	50m 4s	96.2%	596.7 MB	994.3 MB	5.9 GB	77.6 KB
2030	fd/7b7b3c	771354	InvokePreparePlotData (2029)	COMPLETED	0	2025-02-07 20:39:50.923	50m 7s	48m 30s	95.8%	527.2 MB	897 MB	1.5 GB	58.3 KB
